period,start,end,observations,mean_volatility,median_volatility,max_volatility,min_volatility
Global Financial Crisis,2008-01-01,2009-06-30,381,0.14615755559020546,0.0929101373512307,0.25802336421702465,0.05883659803657766
COVID-19 Shock,2020-02-01,2020-05-31,85,0.09944585997150536,0.12288431001902209,0.1315409670001793,0.04349634212560396
2022 Rate and Inflation Period,2022-01-01,2022-12-31,260,0.09771794923417947,0.10815451397844951,0.12606218597546487,0.05779387420559431
