Model,VaR_95_Breaches,VaR_99_Breaches,Observations,Breach_Rate_95,Breach_Rate_99
"GARCH(1,1)",48,19,956,0.0502092050209205,0.0198744769874477
GJR-GARCH,52,16,956,0.05439330543933055,0.016736401673640166
