Metric,Mean_VaR,Maximum_VaR,Minimum_VaR
GARCH VaR 95%,8865.966855154216,36252.83798532276,4693.850987132143
GARCH VaR 99%,12539.306116271877,51273.080591012855,6638.603025861534
