Confidence_Level,Historical_VaR,Historical_ES,Parametric_VaR,Parametric_ES,Monte_Carlo_VaR,Monte_Carlo_ES
0.95,8606.1,14027.117021276596,9566.469407272238,12067.622063146653,9587.009557935191,12085.81270208262
0.99,16588.269999999964,24555.859649122805,13645.645420116749,15673.975779927116,13676.639723240254,15699.787004562695
