regime,count,percentage,mean_volatility,median_volatility,min_volatility,max_volatility
Low,1838,33.32728921124207,0.046982662061633526,0.0483947906620934,0.03252768070733963,0.05506263428453353
Medium,1838,33.32728921124207,0.06246810264447469,0.06301485047542726,0.05506920971457311,0.06840871476878951
High,1839,33.345421577515864,0.10322845845711863,0.08835507102027118,0.06841905317647318,0.25802336421702465
