,Total Return,Annualized Return,Annualized Volatility,Maximum Drawdown
SPY,8.48806575512586,0.10576064930360629,0.1858069120044157,-0.5518946344524851
EURUSD,-0.13725740771928274,-0.006574921833679914,0.10937313517416024,-0.3997870365012962
TLT,0.8805671844055887,0.028621172701628117,0.1430109729894341,-0.483511533719585
Equal-Weight Portfolio,1.9805468593631148,0.051881221768945544,0.07849710887392339,-0.23843016706218645
