Metric,Mean_VaR,Maximum_VaR,Minimum_VaR
Rolling Historical VaR 95%,10478.540533472804,12542.0,8193.75
Rolling Historical VaR 99%,16353.809048117177,22911.700000000033,14554.900000000016
Rolling Parametric VaR 95%,10429.049421872014,12994.834517255087,8944.074322754688
Rolling Parametric VaR 99%,14833.139522400019,18429.860916881116,12861.431217324473
