Date,GARCH_11_Volatility,GJR_GARCH_Volatility
2023-01-02,0.007723703140941668,0.007897948179191277
2023-01-03,0.007283328537920657,0.007550551605092989
2023-01-04,0.00692128528126662,0.007227874242915202
2023-01-05,0.006736661074205729,0.006942181051607665
2023-01-06,0.006475357468801893,0.006779013812658953
2023-01-09,0.007801978918853856,0.006729309086952233
2023-01-10,0.007438017764166268,0.006455989786201238
2023-01-11,0.007016319887891543,0.006184277968761942
2023-01-12,0.007498218273317548,0.006066796765370013
2023-01-13,0.007507611111787929,0.005889811654732711
2023-01-16,0.007081267774004072,0.005647876978426492
2023-01-17,0.006691035614599542,0.005429905648801373
2023-01-18,0.006401265716734341,0.005334526492460242
2023-01-19,0.006073537773141765,0.005156656561429308
2023-01-20,0.006047801856107858,0.005395330080734043
2023-01-23,0.005915710831571605,0.005211282073831427
2023-01-24,0.005800630633846778,0.005039136785545132
2023-01-25,0.005604533900848138,0.004862951545460386
2023-01-26,0.005310788372335852,0.004678702597501493
2023-01-27,0.005220236558541094,0.004534181243460858
2023-01-30,0.0049513068788128835,0.004370207941382351
2023-01-31,0.005400015596364862,0.005182413136566053
2023-02-01,0.005876071888830431,0.00509278984681272
2023-02-02,0.006227193725985402,0.005003685469483609
2023-02-03,0.006721292897313438,0.004957679639377194
2023-02-06,0.0074723638331078476,0.006555516490902973
2023-02-07,0.0074859922101828515,0.006898636890777128
2023-02-08,0.007108974835808877,0.006610488211455656
2023-02-09,0.006863311352481691,0.006534042022743024
2023-02-10,0.006960903414557878,0.0068899618898409995
2023-02-13,0.006605440351479624,0.006635574020563651
2023-02-14,0.006610175788318728,0.006405355479611015
2023-02-15,0.0062433768004363744,0.006135864380696961
2023-02-16,0.005920455219820234,0.0059019943399282815
2023-02-17,0.00688657057109763,0.007276026505023872
2023-02-20,0.006500288330874415,0.006960428710760738
2023-02-21,0.006139836457473339,0.006661176437148807
2023-02-22,0.00784932797803956,0.008788893841472984
2023-02-23,0.007406855530354124,0.008396978403956985
2023-02-24,0.007122357088338197,0.008040794686975388
2023-02-27,0.007433815152981389,0.008493038853790368
2023-02-28,0.007023193065489935,0.008116677767739219
2023-03-01,0.006627740485695684,0.007757797246862178
2023-03-02,0.006573645921992732,0.007755370313691938
2023-03-03,0.006261817094493426,0.007421641409886544
2023-03-06,0.007366545899510187,0.007279863217261118
2023-03-07,0.0069756116088697554,0.006994957841870074
2023-03-08,0.006786005152874075,0.006943461546254727
2023-03-09,0.00643557503829989,0.006676940866509024
2023-03-10,0.006733459789131163,0.0071879280341757765
2023-03-13,0.006449785776569728,0.006889285580942136
2023-03-14,0.006109635308471193,0.006596309192471031
2023-03-15,0.005896751194191462,0.0063322580200343625
2023-03-16,0.0056261024379806665,0.0060729221157839065
2023-03-17,0.0054316774601383625,0.005834896450326295
2023-03-20,0.005159173130021306,0.005608995380699685
2023-03-21,0.004984039073198871,0.0053943562312726
2023-03-22,0.004930156310533022,0.005205706609248013
2023-03-23,0.004848447338748085,0.0051962037491041545
2023-03-24,0.004685373342582128,0.005003289168091093
2023-03-27,0.0045909217726276645,0.004828761653268792
2023-03-28,0.005008924288638283,0.005414725215157287
2023-03-29,0.004754368924758222,0.005199695344530879
2023-03-30,0.005028029356122025,0.005062605486613771
2023-03-31,0.004937989730337947,0.004889821242034386
2023-04-03,0.00613470368125362,0.004924107495312231
2023-04-04,0.005808521033068538,0.004737236081267859
2023-04-05,0.005496133488476729,0.004559333666714719
2023-04-06,0.005256254417001308,0.004400713645394383
2023-04-07,0.004998199161939086,0.004245383440834779
