Date,Close,High,Low,Open,Volume
2005-01-03,81.17460632324219,82.1597671537317,80.90469804752962,82.02481044183934,55748000
2005-01-04,80.18270111083984,81.33655403836079,79.91954194218098,81.28257135041218,69167600
2005-01-05,79.6293716430664,80.46608250607213,79.62262252173174,80.12194939100132,65667300
2005-01-06,80.03424072265625,80.39861609607648,79.79807292916308,79.91953138696982,47814700
2005-01-07,79.9195327758789,80.45260017506861,79.71035117108809,80.27715903339394,55847700
2005-01-10,80.29743194580078,80.60782476244427,79.8520823731772,79.8520823731772,56563300
2005-01-11,79.74407196044922,80.12194034338084,79.6158644099243,80.05446458186744,63099700
2005-01-12,80.00727844238281,80.18946362123009,79.29876965648792,79.89256906503181,72720500
2005-01-13,79.36624908447266,80.11524230729111,79.28527503538535,80.05451048345725,55537500
2005-01-14,79.78461456298828,79.98029801770993,79.460728612333,79.60242935925397,42032500
2005-01-18,80.61457061767578,80.71578689353724,79.58891990612094,79.65640085541101,57391700
2005-01-19,79.77107238769531,80.64826768350159,79.76432326635346,80.58754103563852,54378900
2005-01-20,79.2852554321289,79.75759106483608,79.14355474231675,79.54841459150467,72049300
2005-01-21,78.7994155883789,79.62263346998037,78.71169759125176,79.48093279089565,63160400
2005-01-24,78.64424896240234,79.17731139952356,78.52279046010385,79.00861932122419,58441900
2005-01-25,78.86688995361328,79.26500579082693,78.75892973970451,78.8871373200385,68245000
2005-01-26,79.10306549072266,79.35272638936665,78.9748579061831,79.16379214777488,57195100
2005-01-27,79.23800659179688,79.45393214627154,78.9343630504664,79.07606371295871,55878800
2005-01-28,79.23800659179688,79.31898060525161,78.68469703670111,79.2784910244886,60738900
2005-01-31,79.7306137084961,79.79134037597366,79.42696492688968,79.58890785490271,52532700
2005-02-01,80.2366714477539,80.35138078093284,79.69010582553535,79.7913220628404,49841200
2005-02-02,80.47958374023438,80.695509312141,80.22992285438492,80.33788306630238,52468900
2005-02-03,80.27040100097656,80.40535769038885,80.00724189171171,80.33787677164705,48837100
2005-02-04,81.12735748291016,81.2623090213158,80.28389749769683,80.2973905923089,50024600
2005-02-07,81.01939392089844,81.3230374630447,80.94516902871668,81.14085236737121,45412000
2005-02-08,81.11381530761719,81.41071470898935,81.01934825228395,81.08682398494078,39263500
2005-02-09,80.50657653808594,81.30280306417353,80.46609210139275,81.25556950534087,55279400
2005-02-10,80.7967529296875,80.98568722562094,80.47286703610828,80.74277537947326,45858600
2005-02-11,81.49176025390625,81.67395056648817,80.60781548330537,80.76975842376565,53133000
2005-02-14,81.43103790283203,81.55249640164065,81.29608630329957,81.43778702723071,32432100
2005-02-15,81.73467254638672,81.9371050713957,81.4310289069462,81.51200294656438,43852700
2005-02-16,81.78861236572266,81.95730433211052,81.42423710055644,81.5996781870595,55523000
2005-02-17,81.12735748291016,81.86960124028364,81.1206083615685,81.80212547108081,58124000
2005-02-18,81.23531341552734,81.2960452082686,80.9046785601568,81.13409719300589,47723300
2005-02-22,80.02752685546875,81.2893455481102,80.01403375335573,80.9047277869632,80697600
2005-02-23,80.60103607177734,80.68201008561648,80.04098254062185,80.25015897461711,68292600
2005-02-24,81.13410186767578,81.18808454254031,80.28389790487995,80.45933387608282,68563600
2005-02-25,81.93707275390625,82.09901562119641,81.09361281249984,81.15433945720706,60899900
2005-02-28,81.39725494384766,81.8493533772643,80.99914432936814,81.74813715640771,69381300
2005-03-01,81.80216217041016,81.99784044446515,81.49851335066309,81.52550470006773,47294400
2005-03-02,81.76168060302734,82.274505995939,81.41080332245032,81.48502825358518,64226500
2005-03-03,81.7953872680664,82.25422976719317,81.44450498446082,82.09228686987545,61230800
2005-03-04,82.81425476074219,82.88173051145544,82.17997137828402,82.35541244859432,56168500
2005-03-07,82.85479736328125,83.16519015297995,82.59163814705684,82.76707934056424,43442400
2005-03-08,82.54436492919922,82.99645822218957,82.39591515584218,82.773783562154,44362000
2005-03-09,81.62670135498047,82.5173950789683,81.61995223223303,82.30146948370071,73263600
2005-03-10,81.80888366699219,81.9843248158773,81.2420809294632,81.78189232500432,65149000
2005-03-11,81.23531341552734,82.13275602817548,81.08011966932258,81.85609869648823,57976500
2005-03-14,81.74137878417969,81.75487702440398,81.16107800822162,81.38375263929001,36336400
2005-03-15,81.06664276123047,81.95733648729076,81.02615832079617,81.93034514431048,62438500
2005-03-16,80.37838745117188,81.080146976108,80.22993762788715,80.76974908301848,74874200
2005-03-17,80.54029846191406,80.79670841540343,80.2838885084247,80.50655800705492,62584200
2005-03-18,80.30118560791016,80.97182844236266,80.03699281954121,80.68731392693344,60232000
2005-03-21,80.00310516357422,80.46374984290638,79.77278540805403,80.41633076569389,61244300
2005-03-22,79.19023895263672,80.5653979458596,79.19023895263672,80.18604516656887,92472400
2005-03-23,79.25797271728516,79.74571491478004,79.08861807472687,79.22409972145608,70817300
2005-03-24,79.3528060913086,79.92861080742847,79.29861136858612,79.56957981390525,51932500
2005-03-28,79.46796417236328,79.89474114361632,79.46796417236328,79.54248062231879,46765500
2005-03-29,78.93958282470703,79.86764809902935,78.7499064575856,79.3528085537759,71160300
2005-03-30,80.05729675292969,80.07084284519485,79.10213444705124,79.10891007732961,62002100
2005-03-31,79.90827941894531,80.2469886425768,79.84731423947208,80.06408793586453,64575400
2005-04-01,79.54927062988281,80.60604204815779,79.1970152132225,80.36217092574141,95255300
2005-04-04,79.68474578857422,79.8405543361872,79.08184366520398,79.50184504583116,71581200
2005-04-05,80.06407928466797,80.19278526130185,79.71181883591031,79.78633527052088,46853900
2005-04-06,80.34187316894531,80.57896872863283,80.05735849732028,80.2402593095662,53268200
2005-04-07,80.77539825439453,80.78894952161836,80.15217433774558,80.21314470366457,46734600
2005-04-08,79.93537139892578,80.75504704477054,79.93537139892578,80.72794968850803,63772900
2005-04-11,79.99637603759766,80.21992546082409,79.82025088744484,80.13186288574768,44945000
2005-04-12,80.40958404541016,80.65345514969573,79.30539361144031,79.86087664491443,86144800
2005-04-13,79.4612045288086,80.47733243752332,79.34603943791764,80.31474825095742,65949000
2005-04-14,78.42472839355469,79.59666453695597,78.42472839355469,79.52892372845534,96119800
2005-04-15,77.32733154296875,78.71603652385055,77.2934585468255,78.4044245988484,128677300
2005-04-18,77.5644302368164,77.8760421747778,77.19862357008944,77.3070130276206,100035200
2005-04-19,78.18089294433594,78.26217987885632,77.78798886650604,77.97088963747132,64930100
2005-04-20,77.09025573730469,78.32992812061389,76.92090104998047,78.16057343328967,107735900
2005-04-21,78.58732604980469,78.72280769010341,77.48313052502627,77.76087460641993,86952200
2005-04-22,78.28926849365234,78.91926800722287,77.40862223397953,78.40442841687751,88845800
2005-04-25,78.80413055419922,78.91929051026109,78.39090467111106,78.48574289002028,52284100
2005-04-26,78.03862762451172,79.10217471479534,78.00475979246228,78.55346725362881,72626000
2005-04-27,78.34344482421875,78.62795933300306,77.52376911941103,77.80828362819534,84131900
2005-04-28,77.36116790771484,78.36374926725387,77.36116790771484,78.08600528306097,72481500
2005-04-29,78.41117858886719,78.49247065619676,77.2053746824187,77.95053387725058,103993800
2005-05-02,78.85150146484375,78.85827709585139,78.2553699751828,78.6279521562209,56026400
2005-05-03,78.98700714111328,79.15636178985851,78.37055890719341,78.62797611270041,86000300
2005-05-04,79.59669494628906,79.76604961638755,78.77024332928134,79.02089010161308,81055700
2005-05-05,79.56956481933594,79.93537137633797,79.0818227433332,79.71182206345469,96906700
2005-05-06,79.31890869140625,79.92858621370551,79.29858696871155,79.88794276831611,67415400
2005-05-09,79.81344604492188,79.98957629891395,79.2918360832402,79.40022035380177,43750500
2005-05-10,78.98700714111328,79.59668491025484,78.84474985636254,79.501846720421,74613500
2005-05-11,79.42052459716797,79.52891401216063,78.47891351965927,79.21052656598441,91647400
2005-05-12,78.54664611816406,79.65761166437466,78.54664611816406,79.47471100603747,95086800
2005-05-13,78.39086151123047,79.00053913161445,77.76763779630127,78.78376544084375,85267000
2005-05-16,79.1224594116211,79.14955159549183,78.35020296401842,78.37729514788917,49207000
2005-05-17,79.6508560180664,79.73214291765079,78.6889231388418,78.85827773736553,61071800
2005-05-18,80.47055053710938,80.66700253768933,79.94216489265662,79.9963544489977,77944900
2005-05-19,80.80924987792969,80.89054195488634,80.40957029325872,80.62634399685038,61768100
2005-05-20,80.6941146850586,80.87701545384495,80.43669228002567,80.84314245266872,46345500
2005-05-23,81.14116668701172,81.31729689981735,80.74149235335507,80.7550384458978,51047900
