Date,Close,High,Low,Open,Volume
2005-01-03,43.71553421020508,43.764795950363336,43.42981461391527,43.43966545857497,1168000
2005-01-04,43.25739288330078,43.720461509308194,43.25739288330078,43.70568336310453,1935400
2005-01-05,43.48892593383789,43.621936762669336,43.3214352704854,43.34606426063325,1094100
2005-01-06,43.51847839355469,43.617005620759954,43.459365815660945,43.49384940557544,1057400
2005-01-07,43.61701583862305,43.77958298277318,43.523415890458374,43.72539393472314,738700
2005-01-10,43.685997009277344,43.70570246563822,43.582546182206386,43.66629155291647,379400
2005-01-11,43.94211959838867,43.98153047449369,43.71551269842683,43.79433445063687,844100
2005-01-12,44.00126266479492,44.060379014894494,43.74509933122404,43.779582929174545,722000
2005-01-13,44.424930572509766,44.424930572509766,44.203250786350424,44.21310163439769,1876700
2005-01-14,44.41999435424805,44.53329975542268,44.24264905754104,44.28698726093299,1043800
2005-01-18,44.56779479980469,44.577645648404705,44.203253266702255,44.237736874449354,1251600
2005-01-19,44.69585418701172,44.75003946262677,44.4692434491374,44.730337776091844,655800
2005-01-20,44.78453826904297,44.838723558522275,44.50866572738585,44.54314932528921,1064200
2005-01-21,44.83380889892578,44.853514352836775,44.59241990733937,44.631830815161365,606300
2005-01-24,45.025917053222656,45.075178792019784,44.828866339604375,44.87320077699287,561400
2005-01-25,44.602237701416016,45.02589521476253,44.587459562787544,45.00618977711526,1942200
2005-01-26,44.68598937988281,44.789440123496995,44.646578498954995,44.75495654229226,709800
2005-01-27,44.602237701416016,44.68105569357717,44.50371051317966,44.59238310337842,463900
2005-01-28,45.0505485534668,45.124443044994514,44.912614173777705,44.937246923763595,1128000
2005-01-31,45.178646087646484,45.198351542055306,44.9717444540006,44.99144990840942,1313900
2005-02-01,45.1069450378418,45.24540030400485,45.02288345090323,45.21573239629078,948200
2005-02-02,45.21080780029297,45.22564176114288,45.04268077453602,45.09707447940225,760300
2005-02-03,45.18606185913086,45.21573354021866,45.02782672628083,45.02782672628083,505800
2005-02-04,45.81407928466797,45.95748052285235,45.72012583867223,45.72507174967851,3483900
2005-02-07,46.15523147583008,46.19479118416189,45.838761354418445,45.85854120858435,1064600
2005-02-08,46.41733169555664,46.54095300784334,46.15030920830259,46.170089070983224,1383800
2005-02-09,46.54093933105469,46.60027512903679,46.175017637929294,46.20468930954229,2125800
2005-02-10,45.9129638671875,46.32338761199278,45.86351608684774,46.22943418851056,1240000
2005-02-11,45.88325881958008,45.97721216702461,45.69040999149344,45.72007788116192,1275200
2005-02-14,46.026702880859375,46.090984626032274,45.853633741836745,45.93769535612998,295000
