Date,SPY,EURUSD,TLT
2005-01-04,-0.012294673513841229,-0.014057773546132503,-0.010535360365074372
2005-01-05,-0.006924779453359556,-0.00014603826794047447,0.005338176962674498
2005-01-06,0.005071536856473886,-0.007330234671186995,0.0006793091020629656
2005-01-07,-0.001434263961798011,-0.009303419465095048,0.0022617071938561203
2005-01-10,0.004717351516093923,0.003742508666709804,0.0015802704341893676
2005-01-11,-0.006915233573842178,0.0005376181953160435,0.005845688082305444
2005-01-12,0.0032952049473894793,0.010535824658863052,0.0013450261702589318
2005-01-13,-0.008044407684739326,-0.003387785693861592,0.009582480803567954
2005-01-14,0.005257482524457985,-0.008524387633613358,-0.00011111987028780573
2005-01-17,0.0,-0.0036609785605764404,0.0
2005-01-18,0.010348724163741056,-0.0025417638930766416,0.003321817136259718
2005-01-19,-0.01051847273973113,-0.0011448597807843745,0.0028692413208539205
2005-01-20,-0.0061087599970620935,-0.003090005582806678,0.001982202103379746
2005-01-21,-0.0061465968866549064,0.0027779770071502978,0.0010995658010667562
2005-01-24,-0.0019710755165191236,0.003072487096648495,0.004275740771237358
2005-01-25,0.0028269891389213872,-0.005228077624189512,-0.009454228054846284
2005-01-26,0.0029901345786116466,0.008218507799413527,0.0018759853514160247
2005-01-27,0.0017044362775571523,-0.002834013929793513,-0.0018759853514161212
2005-01-28,0.0,0.0003000568924160849,0.010001130082855119
2005-01-31,0.00619755889571321,0.0005349070355446444,0.0028393829901816785
2005-02-01,0.006327036518064702,-0.0009913801733909024,-0.0015883168949667082
2005-02-02,0.00302287378671526,-0.000534522995774739,0.002299942258775515
2005-02-03,-0.0026025863413763027,-0.004615622727806629,-0.0005474955465488647
2005-02-04,0.01061928670092397,-0.008833744952873195,0.01380277850697777
2005-02-07,-0.0013316773482281313,-0.007327903890523666,0.007418860771635377
2005-02-08,0.001164738523865701,0.0004596755694005537,0.0056626047956909575
2005-02-09,-0.0075144184465886065,0.0033641410418626602,0.002659423566822895
2005-02-10,0.00359790099291946,0.004906587234685771,-0.013584826594073493
2005-02-11,0.00856513575090225,-0.0014796398456874032,-0.0006471954460618977
2005-02-14,-0.000745412607355895,0.008988718780747315,0.003121406539447071
2005-02-15,0.0037217990619339944,0.0033785982228849926,-0.005062261117788682
2005-02-16,0.000659720373416994,0.00046878050907379134,-0.003787098520194111
2005-02-17,-0.008117786300865704,0.003979980585949364,-0.006306319876152917
2005-02-18,0.0013298124246037236,-0.0004575228178914976,-0.00898485339027333
2005-02-21,0.0,-0.0003789804395113189,0.0
2005-02-22,-0.01497938572508236,0.014965235686048501,-0.004411541985697461
2005-02-23,0.00714084273518247,-0.004379800060503592,0.0033105646807688885
2005-02-24,0.006591860407669061,-0.0015171949149544136,-0.0022055977493098825
2005-02-25,0.009848182891613318,0.004770521610753075,0.0048466726741710695
2005-02-28,-0.006609997826494133,-0.002196509479546146,-0.010827657373657843
2005-03-01,0.004962126269168508,-0.0034174112177283184,-0.0003118158964115098
2005-03-02,-0.0004949940955526423,-0.0027359193185726525,-0.001337762775085722
2005-03-03,0.0004121700878474091,-0.002283163265140238,-0.0005596546669879432
2005-03-04,0.012379353866956327,0.01069914804598416,0.010774923272872163
2005-03-07,0.0004894408802200564,-0.0018924774333221306,0.003969648082774513
2005-03-08,-0.003753740881071358,0.009792271703493158,-0.009508547824980595
2005-03-09,-0.01117947458690856,0.0018710235849407507,-0.016466214770198325
2005-03-10,0.0022294090659029445,0.004545208970067141,0.006080311028448387
2005-03-11,-0.007035793089451072,0.002596827034732675,-0.007324093850743582
2005-03-14,0.006210299010332421,-0.008037863734853724,0.005975480639661705
2005-03-15,-0.008288779381027915,-0.004121251799079319,-0.006313744872479955
2005-03-16,-0.00852623928580637,0.007548567936771639,0.006089303461336731
2005-03-17,0.0020123339245720967,-0.0023842814150051655,0.0032550824777624835
2005-03-18,-0.002973275601633659,-0.004272098505456954,-0.006295099263510954
2005-03-21,-0.0037189371095592556,-0.012155429134461814,-0.002824518256135597
2005-03-22,-0.010212402787786946,-0.006402003505070992,-0.008517880362821766
2005-03-23,0.0008549641306831777,-0.006452244780691129,0.004778456243697083
2005-03-24,0.0011958000085020904,-0.004705412382513888,0.0020424963047964762
2005-03-25,0.0,0.0018639365279674788,0.0
2005-03-28,0.0014501642454539815,-0.004717816450333636,-0.006136365373975346
2005-03-29,-0.006671188555027391,0.003319567927657984,0.005908775186242717
2005-03-30,0.014059802222818139,-0.001771009313603442,0.00497364067569577
2005-03-31,-0.001863118061477385,0.004011810964506458,0.0071908796375150285
2005-04-01,-0.00450288362710172,-0.004476570065356683,0.003364710650254064
2005-04-04,0.0017015860608981825,-0.004585105660243513,-0.00022361889255785515
2005-04-05,0.004749133007835566,0.0006170074925245999,-0.0025798640235485523
2005-04-06,0.0034636390700939525,0.0007074252837870988,0.0034757545590581983
2005-04-07,0.005381497934742704,-0.0013244327763116796,-0.008090587208627693
2005-04-08,-0.010453991447207735,0.00658801109986671,0.0034910283810711254
2005-04-11,0.0007628834500762337,0.0027848094449227055,0.005381391551073718
2005-04-12,0.005152039507728327,-0.0043229557836958225,0.009239044320513031
2005-04-13,-0.011864464421064027,-0.0002323525502976025,-0.002439827103610773
2005-04-14,-0.013129618397285091,-0.009113063522298367,-0.001555885062581182
2005-04-15,-0.014091820178901369,0.005851574954127108,0.013148915677113342
2005-04-18,0.003061478238870082,0.011429275786146489,-0.0007689258750811561
2005-04-19,0.007916333079097438,0.003612523643618029,0.009621529589911464
2005-04-20,-0.01404839409434185,0.0016737249347204355,-0.0025054719583120287
2005-04-21,0.019233552396004865,-0.0030576490944757093,-0.010527810434226612
2005-04-22,-0.003799902919411682,0.0011487638401549657,0.008344119550391665
2005-04-25,0.0065548763620509,-0.005224172073671852,0.002947834682309779
2005-04-26,-0.009761483629578974,-0.0006884875196580442,-0.0015270317626059054
2005-04-27,0.0038983699469741008,-0.004935041640168072,0.0034861879874371502
2005-04-28,-0.012617351927806511,-0.0012396305553890779,0.007371029623904316
2005-04-29,0.01348155315376327,-0.0022558235159523404,-0.001729229608837153
2005-05-02,0.005599854033722796,-0.002327922018584755,-0.0002170169658916637
2005-05-03,0.0017170171051060974,0.003178117764264273,0.002710407712690224
2005-05-04,0.007689198840337006,0.004883093495334539,-0.008810837476630464
2005-05-05,-0.0003409029935843978,0.0004663259084091764,0.002292991960683951
2005-05-06,-0.0031551229655270166,-0.011183147837589136,-0.007441471487005001
2005-05-09,0.006215441811351703,0.003349595207970564,0.0009889186368530088
2005-05-10,-0.010408614692577261,0.0024841332258749697,0.007105029904640356
2005-05-11,0.005473458661975972,-0.00567984344703205,0.0030456883922855
2005-05-12,-0.011064164658202522,-0.01042730993869637,0.0039026814917993567
2005-05-13,-0.001985308170810986,-0.0051352711962564905,0.0038861934578719075
2005-05-16,0.00928941320124806,0.0018941478023991802,-0.0011857870118426289
2005-05-17,0.006656012136396949,-0.0029282144211908467,0.002801395183712115
2005-05-18,0.01023850211124264,0.006169337815048234,0.006648536376728808
2005-05-19,0.004200152007537439,-0.0036328746993322205,-0.0025692805099522945
2005-05-20,-0.0014257933596290493,-0.006197176992559717,0.0011785595764130716
2005-05-23,0.00552479206373996,0.0011181800668151687,0.007782230381351398
2005-05-24,-0.002339944472043519,-0.0002388069451628306,0.002757346502853686
2005-05-25,-0.0007535958440387228,0.002466408354497429,-0.007014570439664283
2005-05-26,0.00534509345342066,-0.0067805250273478,-0.0003202679431471759
2005-05-27,0.0016647629477212372,0.00542070288801488,0.0010673238764971125
2005-05-30,0.0,-0.007895317663559446,0.0
2005-05-31,-0.006423467757091699,-0.01411801415588027,0.01228530030368026
2005-06-01,0.008500157806343228,-0.009139827699492611,0.012170022977280573
2005-06-02,0.00215576703330629,0.005797685506019848,0.0023980048136550644
2005-06-03,-0.005064304653755341,-0.003013112115264007,-0.008259325617207726
2005-06-06,-0.000915944850955873,0.002448923715035941,0.005234406795317463
2005-06-07,0.0007494547671369102,0.0015458986274750849,0.007907236224564953
2005-06-08,-0.001833316635339824,-0.003346546907311359,-0.004778410462017228
2005-06-09,0.004742711754551373,-0.000819549566493637,-0.0008332224317901192
2005-06-10,-0.0023269884511289574,-0.007467812568814279,-0.011317267153815884
2005-06-13,0.003156465012294411,-0.0015643961445166398,-0.006024117993891384
2005-06-14,0.0023200362162149124,-0.007617303214674026,-0.006596593539557071
2005-06-15,0.0019006759468752348,0.007944539597191108,0.0018139324436583113
2005-06-16,0.002557171145596065,-0.0018892558298778473,0.004993769290519043
2005-06-17,0.003698350330867247,0.014760324634496653,-0.00010603234980321809
2005-06-20,0.0003291777369542452,-0.010395138796400938,-0.0016969983463115993
2005-06-21,0.0005768624028188763,0.001812296479804265,0.0073002350560089175
2005-06-22,0.000822826891403943,-0.0043610019964599464,0.01205076091906826
2005-06-23,-0.014165855731253407,-0.007619222691386578,-0.0010432395190957079
2005-06-24,-0.007369067716048451,0.005718103518406759,0.004992855584989886
2005-06-27,0.0014277611239185061,0.005434641105493961,0.002693566165483604
2005-06-28,0.008357574543008629,-0.007501301681996326,-0.00685188572231691
2005-06-29,-0.00266682816767314,0.000410574789239694,-0.00156428510795231
2005-06-30,-0.005438944638455721,0.0010755401980804477,0.00893381461455333
2005-07-01,0.002932229583517518,-0.012902265252443297,-0.012194033341446864
2005-07-04,0.0,-0.002265198904439832,0.0
2005-07-05,0.007999003651979253,0.001847540384300793,-0.009499441602174611
2005-07-06,-0.008417635791676118,-0.0001669723583689136,0.005498686603978981
2005-07-07,0.003925715352134928,0.001336994855278396,0.0021073700797623893
2005-07-08,0.011357247412805152,0.003014653479974366,-0.0041120836791192165
2005-07-11,0.005097404903439709,0.0073110891299754815,0.0
2005-07-12,0.002620559452992604,0.013254845398430202,-0.005617772296019584
2005-07-13,0.0013899423422197204,-0.01233707058630098,-0.001487782702679092
2005-07-14,0.003912895782589884,0.0011482038116812881,-0.0025581415686668726
2005-07-15,-0.0005692803139854492,-0.003971053807993222,0.002663822567846056
2005-07-18,-0.003997546227399148,0.0008315253626943602,-0.007476788394133244
2005-07-19,0.005461263645030577,-0.0021677064696737063,0.00353176076484052
2005-07-20,0.0034084857287529973,0.010594197672005125,0.0054332976133222985
2005-07-21,-0.005849754802866841,0.00024313353758671031,-0.013693668727359411
2005-07-22,0.0066594554858633165,-0.008259557322173865,0.0077264424725670714
2005-07-25,-0.0028371895839838287,0.00033767516849479825,-0.0036416454062675047
2005-07-26,0.0012174049069533976,-0.003985542025490019,0.0016082289252249647
2005-07-27,0.003640900860784615,0.004142432744214162,-0.0016082289252249576
2005-07-28,0.0062818408163164904,0.005372163884952638,0.008865134449796908
2005-07-29,-0.006685429178166365,-0.0006549250562160054,-0.00993774879557101
2005-08-01,-0.0007275592224529739,0.004934536564574146,-0.0037263812631893713
2005-08-02,0.0059667758860624705,0.0008166389805580018,-0.003251086987966318
2005-08-03,0.0026497789742426824,0.011503804673669342,0.004872104372098579
2005-08-04,-0.008050549133715374,0.004041645241327653,-0.0020539672008798
